id,correct,amount
17768,0,6200
17783,1,1600
17814,0,1000
17835,1,2000
17852,0,3000
17885,1,3000
17888,1,4000
17893,1,3600
17928,0,400
17952,1,2200
17967,1,2000
17994,0,1600
18015,0,2000
18030,1,2000
18042,1,1000
18077,1,2000
18080,0,4000
18095,1,1000
18145,1,5000
18147,1,3000
18171,0,1200
18205,1,2000
18214,1,2000
18241,1,1000
18263,1,5600
18269,1,5200
18303,1,2000
18307,0,1000
18326,1,1000
18360,1,7000
18362,1,2000
18392,0,1000
18416,0,4000
18421,1,2600
18457,0,3000
18469,1,4000
18483,1,4000
18524,1,3800
18544,1,3400
18547,1,6800
18583,1,1000
18598,1,6800
18601,0,9200
18618,1,800
18653,0,10000
18696,1,2000
18724,1,2000
18725,0,6000
18741,0,4600
18783,0,8000
18784,1,2600
18818,0,1400
18844,1,6000
18846,1,2200
18885,0,1000
18906,1,2000
18911,0,1000
18940,0,1000
18960,0,2000
18978,1,1000
19002,0,2600
19031,1,2000
19033,1,2400
19058,1,1000
19102,1,3000
19107,0,3000
19130,1,2200
19150,0,2600
19154,1,2000
19174,1,600
19211,1,2600
19221,1,2400
19250,0,1000
19284,1,2000
19288,0,2800
19326,1,1400
19343,1,2400
19348,1,4000
19389,0,1000
19409,1,1000
19411,1,2000
19454,1,6200
19477,1,6000
19479,0,10000
19509,1,3000
19524,1,5000
19528,0,4000
19563,1,1200
19583,1,5200
19585,0,6000
19616,0,2200
19647,1,4000
19649,0,1600
19678,1,4000
19703,1,6000
19706,0,8000
19729,0,1000
19754,1,1000
19761,1,1000
19774,0,1000
19816,0,2000
19822,0,2000
19846,1,1000
19876,1,3600
19888,0,600
19920,0,1400
19933,0,3200
19936,0,600
19982,1,1800
20010,0,4000
20012,1,6000
20038,0,800
20066,0,1400
20078,0,1600
20094,0,200
20128,1,4000
20132,1,2000
20160,0,1800
20180,1,2000
20189,1,2000
20216,1,2000
20248,0,3000
20249,0,3000
20289,1,2800
20310,0,5400
20339,1,1200
20360,1,1200
20372,1,6800
20395,0,1000
20412,1,2000
20455,1,1000
20490,0,2400
20497,1,2000
20526,1,1000
20543,1,1400
20548,1,1400
20576,1,800
20596,1,2400
20603,1,1200
20639,1,2000
20665,1,2000
20668,0,2000
20686,1,2400
20717,1,7600
20725,1,3200
20763,1,1600
20798,1,3000
20802,1,5000
20837,0,1200
20868,1,5000
20877,1,4200
20909,1,1000
20923,1,3800
20926,1,6200
20968,1,1200
20990,0,2400
21006,0,2000
21036,1,1000
21048,1,1600
21056,1,3000
21083,1,1200
21112,1,1200
21123,1,2000
21157,0,1000
21184,1,6000
21188,1,6000
21211,0,3000
21242,0,3000
21249,1,4000
21265,0,2000
21298,0,1600
21311,1,2000
21337,1,2800
21362,0,3000
21364,1,2600
21392,0,2200
21411,1,2400
21429,1,4000
21447,1,1000
21486,1,2000
21492,1,4600
21504,1,400
21537,1,2000
21541,1,1400
21570,1,2000
21606,1,3000
21610,1,2400
21640,0,1800
21654,0,2000
21658,0,1600
21705,1,1000
21727,1,4000
21729,1,2000
21758,1,1000
21783,0,2000
21785,0,2400
21821,0,600
21839,1,1000
21841,1,2000
21871,0,1400
21892,1,2000
21918,1,1000
21945,1,3000
21946,0,2000
21983,1,3000
22003,0,1200
22008,0,2400
22036,1,1000
22064,1,4000
22065,0,3000
22094,0,600
22125,1,600
22133,1,2000
22162,1,2600
22189,1,7000
22190,0,8000
22206,0,1200
22242,0,3400
22244,1,4000
22276,0,2000
22301,1,8000
22302,1,14000
22322,0,2000
22363,1,2000
22366,1,8000
22393,1,2000
22412,1,5400
22419,0,8000
22458,0,1000
22477,1,4000
22478,0,4000
22513,1,5200
22541,0,2000
22546,1,4000
22572,0,1000
22590,0,2000
22592,0,2400
22631,0,1800
22658,1,6000
22665,1,2400
22702,1,1000
22724,0,2600
22762,0,1000
22789,1,4000
22790,1,2000
22825,1,2000
22850,1,2400
22856,1,2800
22883,0,1400
22910,0,4000
22912,1,4000
22950,1,1400
22974,1,1400
22978,1,4400
23012,1,1000
